T,V
AIHS,0.5493939472025674
AIM,0.862820516347415
AIMD,0.0784429086230417
AIN,1.1691957124887629
AINC,0.6897289415521464
AIO,1.1242460479747651
AIP,0.9508196550448035
AIR,1.4182444775524705
AIRC,0.8754490835224084
AIRG,0.6533333171497692
AIRI,0.5227272875052841
AIRS,1.4000000922910658
AIRT,1.6749205816359747
AIRTP,0.9929906719063495
AIT,1.5563426035361974
AIU,0.85384619616898
AIV,1.2823529444763817
AIZ,0.7292112823607098
AIZN,0.8593258804149841
AJG,1.3017401285093744
AJRD,1.3765000343322753
AJX,0.7150205368656435
AJXA,1.007764631769071
AKA,0.15030821316057458
AKAM,0.9805648275316864
AKAN,0.09349104945575624
AKBA,2.2058678804056875
AKLI,0.11715987919804284
AKR,0.9107922492874809
AKRO,4.322330061489771
AKTS,0.84432719786075
AKTX,0.1743157935684078
AKU,0.33731883615881314
AKYA,0.5290076050792547
AL,1.273527702242368
ALAR,0.5125207995366733
ALB,1.1438407567957685
ALBT,0.33029614846993377
ALC,1.139642810011877
ALCC,1.0775594616424697
ALCO,0.72662890008227
ALDX,1.980148785017801
ALE,1.0135252751648978
ALEC,0.5180412398585056
ALEX,1.051781756825356
ALG,1.5839403373383567
ALGM,2.3041264124267022
ALGN,1.356066252844097
ALGS,0.7142857264499277
ALGT,1.0985267790577895
ALHC,0.44883721961789447
ALIM,0.561302717341609
ALIT,1.3219372874907613
ALK,1.2804525145503056
ALKS,0.9700922518316737
ALKT,1.1621428898402624
ALL,0.8573313217142404
ALLE,1.182651087232371
ALLG,0.6509434291161283
ALLK,1.3582554771654423
ALLO,0.4217687025180083
ALLR,0.12909836658256355
ALLT,0.625984274511026
ALLY,0.7924746675941184
ALNY,1.258475471493356
ALOT,1.210084040347958
ALPA,1.0623711863718561
ALPAU,1.0659114666126088
ALPN,1.1279199779180367
ALPP,0.3786764560866729
ALRM,0.8063290897039934
ALRN,0.3776400089263916
ALRS,0.7756302384971246
ALSA,1.080482919970507
ALSN,1.5167197734345212
ALT,0.2827868935754947
ALTG,1.9829737209155056
ALTI,0.8252032276060023
ALTO,0.8031088054098536
ALTR,1.4092013606490479
ALTUW,0.4661016895643633
ALV,1.1923776824878518
ALVO,0.9645309526246449
ALVR,0.7297297224732598
ALX,0.8068156771093595
ALXO,0.8032787115911562
ALYA,0.6916666252745539
ALZN,0.5442902915481439
AM,1.2885681866534289
AMAL,0.8168168202569212
AMAM,5.919413822164194
AMAT,1.691511642101199
AMBA,1.3297356754329321
AMBC,1.2169086211424953
AMBI,0.9709418862570365
AMBO,0.6197183252303194
AMBP,0.632952698532664
AMC,0.3474178521119745
AMCR,0.8102894102666417
AMCX,0.4060482393934437
AMD,1.540159632912479
AME,1.4435367626205695
AMED,0.7917316748888636
AMEH,0.7483715292352595
AMG,1.254973761372882
AMGN,0.911968542143987
AMH,1.004221827498804
AMK,1.5797957363943835
AMKR,1.9082688494227067
AMLI,1.4027777087909232
AMLX,1.0753845801720252
AMN,0.9733249204636111
AMNB,0.8365938241628599
AMOT,1.6827208154910553
AMP,1.4239938381233823
AMPE,0.09799999726812056
AMPG,1.1400966044470942
AMPH,1.662723638829392
AMPL,0.6923562912804526
AMPS,0.8785942170775947
AMPY,1.0895999908447265
AMR,1.4664650711219471
AMRC,1.1163773585986474
AMRK,1.3600577508509537
AMRN,0.7358490141654371
AMRS,0.5342465417875906
AMRX,0.9186747029049509
AMS,1.1805882616934062
AMSC,1.29387755697839
AMSF,1.0050981960428853
AMST,0.6991685895134747
AMSWA,0.626328177224434
AMT,0.762053572812575
AMTB,0.6276520356798285
AMTD,0.709821440450543
AMTI,0.08653846815140313
AMTX,1.5219206722149674
AMWD,1.6380460672910282
AMWL,0.4525861993662382
AMX,1.0803970655038435
AMZN,1.1473127860854901
AN,1.4257213220442597
ANAB,0.8950730278715668
ANDE,1.5313499226291294
ANEB,0.4317580219965253
ANET,1.6630264311898848
ANF,2.119954553271629
ANGH,0.296296294115971
ANGI,0.6633466008682046
ANGO,0.5241238910569762
ANIK,1.1472527640206474
ANIP,1.6907667971145846
ANIX,1.0449999968210857
ANNX,0.9200000127156576
ANSS,1.333455723934598
ANTE,0.23116438160427613
ANTX,1.0060167550584616
ANVS,1.1401453667721229
ANY,0.5119049240943156
AOD,1.0272614963256947
AOGO,1.0530531230018423
AOMR,0.6085649982047852
AON,1.2272710836079015
AORT,0.8891181182977204
AOS,1.2610211450818654
AOSL,1.0731309119324868
AOUT,0.9299163130872741
AP,0.8137755089628355
APA,1.0406355591095684
APAM,1.0603217170515233
APCX,3.3333333333333335
APD,1.2379464341919977
APDN,1.5853658093362244
APEI,0.3087674843828255
APG,1.7771241957580441
APGB,1.0539715583621507
APGN,0.04231185396539471
APGNW,0.23584906290321436
APH,1.3147771826107788
API,0.4914992534587093
APLD,9.715686306592273
APLE,1.038255078059845
APLM,0.553953257345426
APLS,1.858362931470602
APLT,1.4382022381611443
APM,0.2115671730487645
APO,1.5091051528366275
APOG,1.2064942562772192
APP,0.7330316637128655
APPF,1.7978779441285129
APPH,0.10246912891627517
APPN,0.951190720818599
APPS,0.5042149592010279
APRE,0.19504818123396492
APRN,0.09548611364062928
